latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,
28.646748,77.2748,231,0,GMT,GMT,,,,
,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),cloud_cover (%),surface_pressure (hPa),wind_speed_10m (km/h),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
2021-06-01T00:00,22.4,96,0,975,11.2,0,0,0,0
2021-06-01T01:00,23,94,70,976.1,9.7,25,3,22,22.9
2021-06-01T02:00,24.4,87,7,976.9,9,131,24,107,73.8
2021-06-01T03:00,26.5,79,4,977.5,9,349,180,169,341.6
2021-06-01T04:00,28.4,72,4,977.8,10.2,523,313,210,444
2021-06-01T05:00,30.3,65,10,977.7,11.2,676,440,236,519.5
2021-06-01T06:00,31.9,57,13,977.5,8.2,757,498,259,527.7
2021-06-01T07:00,32.8,52,16,977,4.2,756,491,265,496.8
2021-06-01T08:00,33.6,50,43,976.6,4,783,513,270,524.5
2021-06-01T09:00,32.5,53,78,976.6,7.2,626,353,273,386.5
2021-06-01T10:00,32.8,52,71,975.7,4,435,179,256,224.1
2021-06-01T11:00,32.8,54,95,975.6,7.3,399,171,228,266.4
2021-06-01T12:00,31,56,94,975.4,7.7,178,24,154,52.9
2021-06-01T13:00,30,66,0,975.8,2.8,121,35,86,141.8
2021-06-01T14:00,27.8,75,0,976.1,5.8,16,2,14,22
2021-06-01T15:00,27.2,79,0,976.5,5.1,0,0,0,0
2021-06-01T16:00,27.4,76,0,977.3,0.8,0,0,0,0
2021-06-01T17:00,26.8,80,1,977.7,1.9,0,0,0,0
2021-06-01T18:00,26.3,84,2,977.8,1.6,0,0,0,0
2021-06-01T19:00,25.1,91,34,977.6,2.6,0,0,0,0
2021-06-01T20:00,24.8,92,40,977.5,2.7,0,0,0,0
2021-06-01T21:00,24.9,89,42,977.1,5.5,0,0,0,0
2021-06-01T22:00,24.4,89,86,978.9,11.2,0,0,0,0
