fetched_at_utc,block_from,block_date,area,acp_rs_mwh
2026-08-06 06:59:51,12:15,06 AUG 2026,ACP,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,AP,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,ASM,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,BGL,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,BHR,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,CHG,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,CTG,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,DL,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,DND,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,DNH,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,GJT,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,GOA,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,HP,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,HRN,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,JAK,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,JHK,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,KRL,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,KRT,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,MGA,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,MHA,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,MIP,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,MPD,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,MZM,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,NGD,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,ODI,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,PNB,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,PU,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,RJ,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,SKM,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,TLG,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,TND,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,TPA,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,UP,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,UTK,1532.96
2026-08-06 06:59:51,12:15,06 AUG 2026,UTL,1532.96
2026-08-06 07:01:46,12:30,06 AUG 2026,ACP,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,AP,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,ASM,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,BGL,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,BHR,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,CHG,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,CTG,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,DL,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,DND,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,DNH,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,GJT,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,GOA,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,HP,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,HRN,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,JAK,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,JHK,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,KRL,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,KRT,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,MGA,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,MHA,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,MIP,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,MPD,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,MZM,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,NGD,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,ODI,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,PNB,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,PU,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,RJ,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,SKM,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,TLG,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,TND,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,TPA,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,UP,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,UTK,1524.3
2026-08-06 07:01:46,12:30,06 AUG 2026,UTL,1524.3
2026-08-06 16:56:58,22:15,06 AUG 2026,ACP,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,AP,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,ASM,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,BGL,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,BHR,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,CHG,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,CTG,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,DL,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,DND,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,DNH,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,GJT,10000.0
2026-08-06 16:56:58,22:15,06 AUG 2026,GOA,10000.0
