delivery_day,issued,load_mape_pct,load_blocks,price_mae_rs_mwh,price_wape_pct,price_mape_pct,price_corr,price_blocks
2026-07-15,2026-07-13 20:01,3.66,96.0,1263.7,19.37,20.16,0.948,96.0
2026-07-22,2026-07-21 10:32,2.58,96.0,1383.4,26.35,21.88,0.88,96.0
2026-07-24,2026-07-23 17:02,6.15,96.0,712.3,15.95,15.85,0.954,96.0
2026-07-25,2026-07-24 06:08,4.42,96.0,413.3,9.15,11.15,0.98,96.0
2026-07-29,2026-07-28 06:14,4.03,96.0,602.5,12.53,17.69,0.947,96.0
2026-07-30,2026-07-29 06:44,7.08,96.0,730.6,15.39,29.64,0.98,96.0
2026-07-31,2026-07-30 06:05,6.12,95.0,422.1,8.3,13.71,0.978,96.0
2026-08-01,2026-07-31 05:45,7.46,96.0,578.5,12.06,16.23,0.966,96.0
2026-08-02,2026-08-01 08:49,6.18,96.0,1362.1,32.45,23.46,0.857,96.0
2026-08-03,2026-08-02 15:37,8.36,96.0,1419.7,26.38,23.71,0.847,96.0
2026-08-04,2026-08-03 13:33,8.53,96.0,1252.3,20.8,17.25,0.858,96.0
2026-08-05,2026-08-04 06:12,8.51,96.0,778.1,15.95,18.31,0.93,96.0
2026-08-06,2026-08-05 05:31,3.45,92.0,391.5,8.6,9.92,0.964,96.0
2026-08-07,2026-08-06 12:30,4.98,95.0,470.3,10.43,11.11,0.959,96.0
2026-08-08,2026-08-07 05:34,5.6,96.0,,,,,
2026-08-11,2026-08-10 06:16,4.59,96.0,399.2,10.19,7.84,0.979,96.0
2026-08-12,2026-08-11 13:28,5.66,95.0,536.5,11.87,12.88,0.974,96.0
2026-08-13,2026-08-12 05:51,2.79,96.0,799.9,15.44,13.8,0.911,96.0
2026-08-14,2026-08-13 05:30,2.47,96.0,706.3,12.97,12.99,0.939,96.0
2026-08-15,2026-08-14 06:14,6.26,96.0,,,,,
2026-08-18,2026-08-17 05:43,,,278.5,6.65,7.97,0.991,96.0
2026-08-19,2026-08-18 15:25,,,219.0,5.25,7.27,0.995,96.0
