date,pnl_point,pnl_stochastic,pnl_cvar,pnl_perfect
2026-06-07,279524.9715594196,269952.9818855367,270753.23786787095,287652.81384737557
2026-06-08,253016.7598855559,257621.67487515425,245478.06632735746,257627.16266140743
2026-06-09,257622.70100283105,257617.22098896166,257111.66654759922,257622.70655453412
2026-06-10,252000.90880868142,253672.05880868138,250808.7088086814,255843.8882673803
2026-06-11,253350.8792725905,249846.81689312257,251239.42799652857,254185.92348380873
2026-06-12,189926.61501777705,191321.1416999191,190782.1823532834,196428.59638349095
2026-06-13,203109.30127588956,199660.70751261365,199775.19042131974,204218.03184492904
2026-06-14,140441.7990787453,140440.89414611322,138862.3031319761,147943.8502529865
2026-06-15,181399.0590202108,178832.9551711279,181763.5595931717,186870.8362147166
2026-06-16,248855.74282934878,251807.33882255066,247572.0796148288,254623.23739693465
2026-06-17,255847.95270180807,255846.9010362973,255830.18645513148,255849.25381214873
2026-06-18,234416.3588651538,235019.04703079868,238686.29663682805,258682.4349928309
2026-06-19,195404.7838824903,220587.4100354946,236074.89130186604,237301.5838824903
2026-06-20,224337.09751139308,224936.32158893778,225496.07125065508,230324.36857319152
2026-06-21,255866.82490862004,256324.4826810044,256325.48199100432,257258.63490168552
2026-06-22,239177.1746860993,240764.43995911587,240659.66623445007,244231.62718577372
2026-06-23,259159.5049815289,259324.86220221012,245080.1472126121,271382.6011777561
2026-06-24,254736.423014983,249038.84675241914,248672.87195667948,257334.3012237002
2026-06-25,252057.2377408485,249363.8173075893,248567.4930153174,258384.8612259656
2026-06-26,255836.94826044573,255855.7237982793,255356.92922517954,269581.9571362359
2026-06-27,224129.1944375651,223153.59734034882,235640.99326391303,252558.108697421
2026-06-28,255856.4182465765,255855.02046725785,255854.46713623588,255858.96602589532
2026-06-29,227250.91805993562,229249.2680599356,230231.88366680843,234795.28366680862
2026-06-30,246105.9449858963,246105.95109276948,246101.55858535605,246105.95109276957
2026-07-01,255831.74287406175,255847.99048806154,253346.89826044568,260657.30214663784
2026-07-02,227228.493293681,217375.7632327073,230048.2609540727,256634.23379134492
2026-07-03,242959.89733164926,236645.71573430253,234485.9737409493,244406.18008468545
2026-07-04,190118.6014498929,189611.34793114619,190111.3858585699,191712.94937897575
2026-07-05,142135.21240906007,136857.53382710705,129964.22480856226,145525.88017450963
2026-07-06,191682.67034102304,190722.61932156974,190721.23532633815,193663.99410369474
2026-07-07,117017.52138338852,108458.06785852826,112977.369671702,124588.26218991581
2026-07-08,175923.09331772075,194554.47521539562,194269.1610906846,222612.29559209303
2026-07-09,196735.87864680815,188420.4720910626,194387.45018394233,207135.90142451393
2026-07-10,146420.785703213,138079.83537874476,161787.25105275493,166820.36847871935
2026-07-11,202752.87658591196,199972.13715696827,196695.00362189702,209337.57361599227
2026-07-12,104086.70437270924,104333.26849347085,102034.69706627376,105990.32838829655
2026-07-13,253485.60270180803,248607.5221327684,251231.8560328299,350936.0198782496
2026-07-14,233799.9467823624,201402.47462956537,241896.4416214021,248075.3865575412
2026-07-15,240601.22572870314,237188.61415154178,239639.24175088803,242314.44831691813
2026-07-19,242231.02930726355,242085.3794415303,242097.72180928843,243238.3294415302
2026-07-20,226670.689876494,226202.91243204748,226517.3287714788,226670.689876494
2026-07-21,230016.71416650206,228153.70642879087,228256.43617329406,230016.71416650206
2026-07-22,238442.76663753804,205942.0138967618,207734.66119841737,291840.7602112407
2026-07-24,180839.9880687348,172389.8981011195,177177.3885191824,195371.80542291974
2026-07-25,159197.557324805,159158.6653403021,164943.48334789468,188380.453178925
2026-07-30,332421.5796043102,340627.675794598,331205.6538216416,349195.1409268402
2026-07-31,313436.76009375445,320463.0002481119,290858.5852561422,329270.28704368946
2026-08-01,314539.6292950906,324246.12583989545,297829.24838862824,331105.93407767476
2026-08-04,323393.9215596682,338275.3860099559,333295.567967067,350831.51250270614
2026-08-05,220516.30659301882,214297.87240461595,221893.96104664204,242771.62222431635
2026-08-06,188519.21132294118,188211.0373299255,190165.44071997874,194431.7235939412
