ts,rtm_price,dam_net_mw,physical_net_mw,rtm_trade_mw,side,soc_mwh
2026-08-06 19:00:00,4093.0,0.0,20.0,20.0,SELL,34.73
2026-08-06 19:15:00,3822.0,0.0,20.0,20.0,SELL,29.46
2026-08-06 19:30:00,3279.0,0.0,0.0,0.0,-,29.46
2026-08-06 19:45:00,3703.0,0.0,15.89,15.89,SELL,25.27
2026-08-06 20:00:00,3824.0,0.0,20.0,20.0,SELL,20.0
2026-08-06 20:15:00,3582.0,0.0,0.0,0.0,-,20.0
2026-08-06 20:30:00,3307.0,0.0,0.0,0.0,-,20.0
2026-08-06 20:45:00,3174.0,20.0,0.0,-20.0,BUY,20.0
2026-08-06 21:00:00,3192.0,20.0,0.0,-20.0,BUY,20.0
2026-08-06 21:15:00,3097.0,20.0,0.0,-20.0,BUY,20.0
2026-08-06 21:30:00,3097.0,0.0,0.0,0.0,-,20.0
2026-08-06 21:45:00,3097.0,0.0,0.0,0.0,-,20.0
2026-08-06 22:00:00,3097.0,15.89,0.0,-15.89,BUY,20.0
2026-08-06 22:15:00,3097.0,0.0,0.0,0.0,-,20.0
2026-08-06 22:30:00,3097.0,0.0,0.0,0.0,-,20.0
2026-08-06 22:45:00,3075.0,0.0,0.0,0.0,-,20.0
2026-08-06 23:00:00,3075.0,0.0,0.0,0.0,-,20.0
2026-08-06 23:15:00,3075.0,0.0,0.0,0.0,-,20.0
2026-08-06 23:30:00,3075.0,0.0,0.0,0.0,-,20.0
2026-08-06 23:45:00,3075.0,0.0,0.0,0.0,-,20.0
