ts,rtm_price,normal_rate,dam_net_mw,physical_net_mw,rtm_trade_mw,dsm_over_mw,dsm_under_mw,soc_mwh
2026-08-03 03:45:00,3421.0,3280.0,0.0,0.0,0.0,0.0,0.0,4.19
2026-08-03 04:00:00,3340.0,3227.0,0.0,0.0,0.0,0.0,0.0,4.19
2026-08-03 04:15:00,3324.0,3216.0,0.0,-12.99,-12.99,0.0,0.0,7.27
2026-08-03 04:30:00,3448.0,3298.0,0.0,0.0,0.0,0.0,0.0,7.27
2026-08-03 04:45:00,3723.0,3602.0,0.0,0.0,0.0,0.0,0.0,7.27
2026-08-03 05:00:00,5344.0,4746.0,0.0,0.0,2.0,0.0,2.0,7.27
2026-08-03 05:15:00,5999.0,5342.0,0.0,20.0,20.0,0.0,0.0,2.0
2026-08-03 05:30:00,5296.0,5265.0,0.0,0.0,0.0,0.0,0.0,2.0
2026-08-03 05:45:00,4647.0,6432.0,0.0,0.0,-2.0,2.0,0.0,2.0
2026-08-03 06:00:00,3701.0,5801.0,0.0,0.0,-2.0,2.0,0.0,2.0
2026-08-03 06:15:00,5000.0,6667.0,0.0,0.0,-2.0,2.0,0.0,2.0
2026-08-03 06:30:00,5103.0,6735.0,8.31,0.0,-10.31,2.0,0.0,2.0
2026-08-03 06:45:00,4999.0,6666.0,0.0,0.0,-2.0,2.0,0.0,2.0
2026-08-03 07:00:00,3342.0,5561.0,0.0,0.0,-2.0,2.0,0.0,2.0
2026-08-03 07:15:00,2711.0,4308.0,0.0,0.0,-2.0,2.0,0.0,2.0
2026-08-03 07:30:00,2951.0,3780.0,0.0,0.0,-2.0,2.0,0.0,2.0
2026-08-03 07:45:00,2500.0,3010.0,0.0,0.0,-2.0,2.0,0.0,2.0
2026-08-03 08:00:00,2610.0,2890.0,0.0,0.0,0.0,0.0,0.0,2.0
2026-08-03 08:15:00,2501.0,2788.0,0.0,0.0,-2.0,2.0,0.0,2.0
2026-08-03 08:30:00,2451.0,2634.0,0.0,0.0,0.0,0.0,0.0,2.0
2026-08-03 08:45:00,2350.0,2426.0,0.0,0.0,0.0,0.0,0.0,2.0
2026-08-03 09:00:00,2424.0,2455.0,0.0,0.0,0.0,0.0,0.0,2.0
2026-08-03 09:15:00,1900.0,2077.0,0.0,0.0,0.0,0.0,0.0,2.0
2026-08-03 09:30:00,2424.0,2312.0,0.0,0.0,0.0,0.0,0.0,2.0
2026-08-03 09:45:00,1959.0,1973.0,0.0,0.0,0.0,0.0,0.0,2.0
