ts,block,forecast_load_mw,actual_load_mw,time_block,mcp_rs_mwh,bess_action,bess_mw,peak_flag
2026-06-01 00:00:00,0,5236.223559233209,5560.263333333333,00:15 - 00:30,10000.0,idle,0.0,False
2026-06-01 00:15:00,1,5147.379740844196,5504.893333333333,00:30 - 00:45,10000.0,idle,0.0,False
2026-06-01 00:30:00,2,5108.494447263261,5438.06,00:45 - 01:00,10000.0,idle,0.0,False
2026-06-01 00:45:00,3,5006.869750465175,5359.47,01:00 - 01:15,10000.0,idle,0.0,False
2026-06-01 01:00:00,4,4969.224089773648,5271.373333333333,01:15 - 01:30,10000.0,idle,0.0,False
2026-06-01 01:15:00,5,4888.409566056314,5190.45,01:30 - 01:45,10000.0,idle,0.0,False
2026-06-01 01:30:00,6,4855.02834273306,5112.5233333333335,01:45 - 02:00,6999.11,idle,0.0,False
2026-06-01 01:45:00,7,4734.375084718218,5038.583333333333,02:00 - 02:15,4579.48,idle,0.0,False
2026-06-01 02:00:00,8,4628.882288438715,4963.446666666667,02:15 - 02:30,4576.21,idle,0.0,False
2026-06-01 02:15:00,9,4603.423969707531,4884.053333333333,02:30 - 02:45,4520.06,idle,0.0,False
2026-06-01 02:30:00,10,4514.361228529773,4813.36,02:45 - 03:00,4500.74,idle,0.0,False
2026-06-01 02:45:00,11,4423.89789707931,4749.996666666667,03:00 - 03:15,4579.41,idle,0.0,False
2026-06-01 03:00:00,12,4214.051832422552,4675.92,03:15 - 03:30,4576.93,idle,0.0,False
2026-06-01 03:15:00,13,4146.315156302247,4616.3533333333335,03:30 - 03:45,4576.0,idle,0.0,False
2026-06-01 03:30:00,14,4091.0586405169347,4571.156666666667,03:45 - 04:00,4509.92,idle,0.0,False
2026-06-01 03:45:00,15,4135.307597454254,4513.48,04:00 - 04:15,4520.29,idle,0.0,False
2026-06-01 04:00:00,16,4115.195701739666,4452.4766666666665,04:15 - 04:30,4500.68,idle,0.0,False
2026-06-01 04:15:00,17,4107.52696377635,4402.28,04:30 - 04:45,4500.54,idle,0.0,False
2026-06-01 04:30:00,18,4066.393203521989,4348.87,04:45 - 05:00,4520.98,idle,0.0,False
2026-06-01 04:45:00,19,4050.5707158615223,4312.086666666667,05:00 - 05:15,4872.61,idle,0.0,False
2026-06-01 05:00:00,20,4060.036158485801,4276.11,05:15 - 05:30,5250.83,idle,0.0,False
2026-06-01 05:15:00,21,4053.0304575772197,4233.8966666666665,05:30 - 05:45,6437.87,idle,0.0,False
2026-06-01 05:30:00,22,4045.839995041939,4168.576666666667,05:45 - 06:00,6999.32,idle,0.0,False
2026-06-01 05:45:00,23,4047.3869461660775,4102.973333333333,06:00 - 06:15,4999.69,idle,0.0,False
2026-06-01 06:00:00,24,4011.4278440266567,4086.986666666666,06:15 - 06:30,4999.66,idle,0.0,False
2026-06-01 06:15:00,25,4042.974363961945,4116.05,06:30 - 06:45,4999.09,idle,0.0,False
2026-06-01 06:30:00,26,4008.1634115156744,4126.316666666667,06:45 - 07:00,4520.47,idle,0.0,False
2026-06-01 06:45:00,27,3945.5651402474077,4161.483333333333,07:00 - 07:15,3706.54,idle,0.0,False
2026-06-01 07:00:00,28,4016.3889098186137,4155.45,07:15 - 07:30,3269.52,idle,0.0,False
2026-06-01 07:15:00,29,4070.4968830302987,4196.833333333333,07:30 - 07:45,2700.08,idle,0.0,False
2026-06-01 07:30:00,30,4080.417879767238,4188.16,07:45 - 08:00,2529.82,idle,0.0,False
2026-06-01 07:45:00,31,4047.8697364903487,4230.003333333333,08:00 - 08:15,2280.38,idle,0.0,False
2026-06-01 08:00:00,32,4009.0982775536004,4247.5233333333335,08:15 - 08:30,2163.48,idle,0.0,False
2026-06-01 08:15:00,33,4062.1812331584892,4285.016666666666,08:30 - 08:45,1559.91,idle,0.0,False
2026-06-01 08:30:00,34,4062.6855998774486,4337.076666666667,08:45 - 09:00,1395.21,idle,0.0,False
2026-06-01 08:45:00,35,4149.747498868182,4415.746666666667,09:00 - 09:15,1169.2,idle,0.0,False
2026-06-01 09:00:00,36,4249.32705398091,4490.5,09:15 - 09:30,1300.54,idle,0.0,False
2026-06-01 09:15:00,37,4367.0281037184295,4538.366666666666,09:30 - 09:45,1339.29,idle,0.0,False
2026-06-01 09:30:00,38,4539.528985109086,4872.8533333333335,09:45 - 10:00,1155.08,idle,0.0,False
